id,name,location,categories,rating,price
NUtMcuAHfobUA-Pc_y6CFg,Jack's at the Junction,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'cafes', 'title': 'Cafes'}]",4.0,£
xFjP08phJ-IeeP4EGgt67g,Flour To The People,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.5,££
24EuTkdtDlSuezk6Mw-CDw,Osteria Antica Bologna,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'italian', 'title': 'Italian'}]",4.0,£££
HTtWqDZjp3XxsEBCufXwZw,Adulis Battersea,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'ethiopian', 'title': 'Ethiopian'}, {'alias': 'african', 'title': 'African'}]",4.0,
JgNtUKlpK8zuBE6Cp_Helg,Cheeky Chico's,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'mexican', 'title': 'Mexican'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'cabaret', 'title': 'Cabaret'}]",5.0,
gQmk5pVuwvIHfrBqjRC7lQ,Bella Mia,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'pizza', 'title': 'Pizza'}]",4.5,
SCRiUVgrqupEq-J0GYLi9g,Bangkok Boulevard,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'thai', 'title': 'Thai'}]",4.0,
VJCTPXElbCem_PSNFv6Xxg,Story Coffee,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",3.5,££
0dcnEygr290hp8c0AsVZhw,Fish in a Tie,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'mediterranean', 'title': 'Mediterranean'}]",4.0,££
oP4Dl0h-tYBV6xEBhzW2RA,Curry Leaf,"300094 - Plough Terrace, Clapham Junction","[{'alias': 'indpak', 'title': 'Indian'}]",3.5,££
