location,poi_type,Type,latitude,longitude,free_bikes
"001019 - Ampton Street , Clerkenwell","['Sushi Restaurant', 'Vegan and Vegetarian Restaurant']",Restaurant,51.52728093,-0.11829517,6
"001019 - Ampton Street , Clerkenwell",['Italian Restaurant'],Restaurant,51.52728093,-0.11829517,6
"001019 - Ampton Street , Clerkenwell",['Dim Sum Restaurant'],Restaurant,51.52728093,-0.11829517,6
"001019 - Ampton Street , Clerkenwell","['Café', 'Restaurant']",Restaurant,51.52728093,-0.11829517,6
"001019 - Ampton Street , Clerkenwell",['Vegan and Vegetarian Restaurant'],Restaurant,51.52728093,-0.11829517,6
"001019 - Ampton Street , Clerkenwell",['Burger Joint'],Restaurant,51.52728093,-0.11829517,6
"200005 - New Cavendish Street, Marylebone","['Cocktail Bar', 'Wine Bar', 'Fast Food Restaurant']",Restaurant,51.519167,-0.147983,11
"200005 - New Cavendish Street, Marylebone","['Brasserie', 'Steakhouse']",Restaurant,51.519167,-0.147983,11
"200005 - New Cavendish Street, Marylebone",['Australian Restaurant'],Restaurant,51.519167,-0.147983,11
"200005 - New Cavendish Street, Marylebone",['Middle Eastern Restaurant'],Restaurant,51.519167,-0.147983,11
"200005 - New Cavendish Street, Marylebone",['English Restaurant'],Restaurant,51.519167,-0.147983,11
"200005 - New Cavendish Street, Marylebone",['Italian Restaurant'],Restaurant,51.519167,-0.147983,11
"200005 - New Cavendish Street, Marylebone",['Moroccan Restaurant'],Restaurant,51.519167,-0.147983,11
"200005 - New Cavendish Street, Marylebone","['Burger Joint', 'American Restaurant', 'Fast Food Restaurant']",Restaurant,51.519167,-0.147983,11
"200005 - New Cavendish Street, Marylebone",['Restaurant'],Restaurant,51.519167,-0.147983,11
"200005 - New Cavendish Street, Marylebone",['Seafood Restaurant'],Restaurant,51.519167,-0.147983,11
"200060 - Drayton Gardens, West Chelsea","['Bakery', 'Coffee Shop', 'French Restaurant']",Restaurant,51.487196,-0.179369,4
"200060 - Drayton Gardens, West Chelsea",['Steakhouse'],Restaurant,51.487196,-0.179369,4
"200060 - Drayton Gardens, West Chelsea","['Burger Joint', 'American Restaurant', 'French Restaurant']",Restaurant,51.487196,-0.179369,4
"200060 - Drayton Gardens, West Chelsea","['Bakery', 'Cafes, Coffee, and Tea Houses', 'English Restaurant']",Restaurant,51.487196,-0.179369,4
"200060 - Drayton Gardens, West Chelsea","['Cocktail Bar', 'Speakeasy', 'Italian Restaurant']",Restaurant,51.487196,-0.179369,4
"200060 - Drayton Gardens, West Chelsea",['Pizzeria'],Restaurant,51.487196,-0.179369,4
"200060 - Drayton Gardens, West Chelsea","['Pizzeria', 'Italian Restaurant']",Restaurant,51.487196,-0.179369,4
