name,latitude,longitude,free_bikes
"001135 - Claverton Street, Pimlico",51.48483991,-0.138089062,28
"001214 - Kensington Olympia Station, Olympia",51.49815779,-0.209494128,1
"001216 - Swan Street, The Borough",51.50029631,-0.092762704,13
"003498 - Geraldine Street, Elephant & Castle",51.49612799,-0.106000855,10
"001152 - Marylebone Lane, Marylebone",51.51475963,-0.148105415,9
"003492 - Putney Pier, Wandsworth",51.466907,-0.216573,27
"001157 - Black Lion Gate, Kensington Gardens",51.50990837,-0.187842717,22
"003494 - Foley Street, Fitzrovia",51.51918144,-0.140485596,6
"001130 - Grove End Road, St. John's Wood",51.53088935,-0.176770502,2
"003495 - Wells Street, Fitzrovia",51.51734403,-0.138072691,27
"003485 - Tyers Gate, Bermondsey",51.50088934,-0.083159352,30
"000968 - Warwick Row, Westminster",51.497998,-0.14296064,20
"003500 - Baldwin Street, St. Luke's",51.52702563,-0.088542771,9
"001148 - Queen Mother Sports Centre, Victoria",51.49357351,-0.139956043,17
"002637 - Bermondsey Street, Bermondsey",51.49785559,-0.081608045,12
"003502 - Palissy Street, Shoreditch",51.526293,-0.073955,16
"003501 - Clifton Street, Shoreditch",51.523196,-0.083067,3
"001131 - Graham Street, Angel",51.53266186,-0.099981142,8
"002641 - New North Road 2, Hoxton",51.53114,-0.086016,4
"002636 - Prince Albert Road, The Regent's Park",51.53589283,-0.160854428,17
"001211 - Bunhill Row, Moorgate",51.52085887,-0.089887855,25
"001210 - Nevern Place, Earl's Court",51.49334336,-0.194757949,13
"002633 - Palace Gardens Terrace, Notting Hill",51.50860544,-0.193764092,5
"001127 - Risinghill Street, Angel",51.5333196,-0.1117812,3
"001222 - Goswell Road (City Uni), Finsbury",51.528246,-0.10102611,5
"001218 - Flood Street, Chelsea",51.48802358,-0.166878535,32
"001226 - Macclesfield Rd, St Lukes",51.529423,-0.097122,15
"001224 - Vauxhall Street, Vauxhall",51.486965,-0.116625,10
"001229 - High Holborn , Covent Garden",51.516226,-0.124826,19
"002662 - Butler Place, Westminster",51.49782999,-0.135440826,14
"002666 - Howick Place, Westminster",51.49675303,-0.138733562,4
"002680 - Harrowby Street, Marylebone",51.5173721,-0.1642075,9
"002681 - Harriet Street, Knightsbridge",51.50024195,-0.15934065,21
"002670 - Paddington Green, Paddington",51.520205,-0.174593,8
"002639 - King Edward Walk, Waterloo",51.49775,-0.10988,12
"002649 - Sardinia Street, Holborn",51.515208,-0.117863,1
"002683 - Millbank Tower, Pimlico",51.49188409,-0.125674815,8
"002678 - Farm Street, Mayfair",51.50935171,-0.14744969,4
"002660 - Frith Street, Soho",51.51310333,-0.13121385,17
"003504 - Moor Street, Soho",51.51352755,-0.130110822,14
"001223 - Buxton Street 1, Shoreditch",51.521776,-0.068856,10
"001227 - Devonshire Terrace, Bayswater",51.51348,-0.17977,6
"001129 - Sun Street, Liverpool Street",51.520009,-0.083935724,12
"010624 - Strata, Elephant & Castle",51.493146,-0.099828,10
"022179 - Exhibition Road, Knightsbridge",51.499917,-0.174554,7
"022171 - Red Lion Street, Holborn",51.51824,-0.11655,18
"200056 - Vauxhall Walk, Vauxhall",51.488124,-0.120903,26
"200053 - Killick Street, King's Cross",51.5338,-0.118677,20
"200032 - Kennington Oval, Oval",51.483145,-0.113134,21
"200039 - Sail Street, Vauxhall",51.495656,-0.114605,19
"200035 - Walmer Road, Avondale",51.510101,-0.211358,16
"200033 - Philpot Street, Whitechapel",51.515256,-0.058641,4
"200047 - Bethnal Green Garden, Bethnal Green",51.52568,-0.055312,22
"200042 - York Hall, Bethnal Green",51.528936,-0.055894,21
"200054 - Jubilee Crescent, Cubitt Town",51.493381,-0.007542,9
"200020 - Shadwell Station, Shadwell",51.511088,-0.057159,9
"200021 - Hermitage Court, Wapping",51.504719,-0.063531,16
"200046 - Napier Avenue, Millwall",51.487679,-0.021582,1
"200031 - East Ferry Road, Cubitt Town",51.49447,-0.014409,13
"200016 - Castlehaven Road, Camden Town",51.542138,-0.145393,28
"200014 - Gunmakers Lane, Old Ford",51.535179,-0.03338,2
"200013 - Aston Street, Stepney",51.516,-0.038775,3
"200152 - Pitfield Street North,Hoxton",51.53558,-0.08249,12
"200158 - Whiston Road, Haggerston",51.534464,-0.076341,6
"200168 - Southern Grove, Bow",51.523538,-0.030556,7
"200150 - Cantrell Road, Bow",51.521564,-0.022694,3
"200174 - Mostyn Grove, Bow",51.530535,-0.025492,1
"200019 - Malmesbury Road, Bow",51.529452,-0.027616,1
"200155 - Gascoyne Road, Victoria Park",51.541515,-0.038557746,17
"200009 - Stebondale Street, Cubitt Town",51.489096,-0.009205,16
"200018 - Spindrift Avenue, Millwall",51.49109,-0.018716,3
"200012 - Stepney Green Station, Stepney",51.521889,-0.04667,12
"200156 - Pott Street, Bethnal Green",51.527152,-0.058005,12
"200022 - Saunders Ness Road, Cubitt Town",51.487129,-0.0090011,33
"200249 - Queen Mary's, Mile End",51.522507,-0.041378,12
"200230 - Maplin Street, Mile End",51.525501,-0.032267204,12
"200233 - South Quay East, Canary Wharf",51.50196,-0.016251,13
"200252 - Bow Church Station, Bow",51.528169,-0.018703,15
"200255 - Devons Road, Bow",51.52512,-0.015578,9
"200242 - Merchant Street, Bow",51.526578,-0.027581,8
"200251 - Bow Road Station, Bow",51.527058,-0.025296,7
"200011 - Furze Green, Bow",51.519265,-0.021345,1
"200148 - Ansell House, Stepney",51.520019,-0.05438,4
"200241 - Bonner Gate, Victoria Park",51.53341,-0.049591815,5
"200250 - Cleveland Way, Stepney",51.520893,-0.051394,6
"200243 - St. John's Park, Cubitt Town",51.496454,-0.009506,16
"200038 - Ackroyd Drive, Bow",51.520398,-0.026768,4
"200036 - Bell Lane, Liverpool Street",51.517475,-0.075855,2
"200157 - Fournier Street, Whitechapel",51.519362,-0.074431,17
"200253 - Fore Street, Guildhall",51.517842,-0.090075,0
"200238 - Westferry DLR, Limehouse",51.509303,-0.025996,40
"200256 - Sutton Street, Shadwell",51.511066,-0.053558,13
"200162 - Watney Market, Stepney",51.5142228,-0.055656,12
"200027 - Ford Road, Old Ford",51.532513,-0.033085,4
"200041 - Antill Road, Mile End",51.528224,-0.037471,13
"200254 - Teviot Street, Poplar",51.518811,-0.011662,7
"200234 - Bancroft Road, Bethnal Green",51.526041,-0.047218,5
"200161 - Clinton Road, Mile End",51.525941,-0.036017,11
"200160 - Langdon Park, Poplar",51.51549,-0.013475,9
"200017 - Lancaster Gate , Bayswater",51.511654,-0.179668,7
"200153 - Blythe Road, Olympia",51.496927,-0.21350087,18
"200143 - Lancaster Drive, Blackwall",51.503143,-0.008428,12
"200154 - Hansard Mews, Holland Park",51.503802,-0.215808,19
"200010 - Manresa Road, Chelsea",51.486892,-0.170983,15
"200146 - Newby Place, Poplar",51.508896,-0.012413,11
"200167 - Twig Folly Bridge, Mile End",51.530326,-0.042744,2
"200165 - Wellington Row, Bethnal Green",51.528222,-0.069743,26
"200159 - Goldsmith's Row, Haggerston",51.531864,-0.066035,19
"200145 - Gloucester Avenue, Camden Town",51.537349,-0.147154,14
"200024 - Queensbridge Road, Haggerston",51.53385,-0.06992,29
"200239 - Old Montague Street, Whitechapel",51.51793,-0.067937,7
"200050 - Naval Row, Blackwall",51.508981,-0.00699,16
"200147 - Salmon Lane, Limehouse",51.514115,-0.033828,5
